embedding_index,row_index,sentence_index,game_id,game_name,genre_id,genre_name,sentence
0,0,0,072,21,07,Puzzle game,This is a Puzzle game.
1,0,1,072,21,07,Puzzle game,Another point is that the decision space is broad enough to make play feel flexible.
2,0,2,072,21,07,Puzzle game,"During play, goals, systems, and guidance work together to create a very strong sense of direction."
3,0,3,072,21,07,Puzzle game,"During play, the polished visual and sound design presentation strongly improves immersion and enjoyment."
4,0,4,072,21,07,Puzzle game,"At the same time, the game is highly immersive and can make players lose track of time."
5,0,5,072,21,07,Puzzle game,"From the player's perspective, the game provides very specific progress and reward feedback."
6,0,6,072,21,07,Puzzle game,"In addition, players are easily drawn in by new constraints, surprises, and changes."
7,0,7,072,21,07,Puzzle game,"From the player's perspective, the game makes player choices and actions feel meaningful."
8,0,8,072,21,07,Puzzle game,"Input feedback is accurate, making the game feel very comfortable to control."
9,0,9,072,21,07,Puzzle game,"In practice, the game is moderately challenging while remaining balanced."
10,0,10,072,21,07,Puzzle game,"During play, the game clearly lets players feel that they are becoming better over time."
11,1,0,071,2048,07,Puzzle game,This is a Puzzle game.
12,1,1,071,2048,07,Puzzle game,"Another point is that the controls are highly intuitive, smooth, and responsive."
13,1,2,071,2048,07,Puzzle game,"In addition, the goals and play structure create a strong sense of value."
14,1,3,071,2048,07,Puzzle game,"From the player's perspective, the game makes it fairly easy for players to become immersed."
15,1,4,071,2048,07,Puzzle game,"In practice, players can quickly see what they should do and how to proceed."
16,1,5,071,2048,07,Puzzle game,"In addition, rewards and milestones are communicated effectively."
17,1,6,071,2048,07,Puzzle game,"During play, the art style and music and effects noticeably improve the experience."
18,1,7,071,2048,07,Puzzle game,"In practice, the design supports effective learning and worthwhile skill development."
19,1,8,071,2048,07,Puzzle game,"In addition, the decision space is broad enough to make play feel flexible."
20,1,9,071,2048,07,Puzzle game,"From the player's perspective, the sense of discovery is moderate."
21,1,10,071,2048,07,Puzzle game,"In addition, the game includes many difficult levels."
22,2,0,142,8 ball pool,10,Simulation game,"As a Simulation game, it leaves a fairly distinct impression."
23,2,1,142,8 ball pool,10,Simulation game,The game makes it fairly easy for players to become immersed.
24,2,2,142,8 ball pool,10,Simulation game,"During play, the rules and objectives are specific and reduce confusion."
25,2,3,142,8 ball pool,10,Simulation game,"From the player's perspective, the game keeps players curious about what they will find next."
26,2,4,142,8 ball pool,10,Simulation game,"In practice, the decision space is broad enough to make play feel flexible."
27,2,5,142,8 ball pool,10,Simulation game,"More specifically, the controls are highly intuitive, smooth, and fluid."
28,2,6,142,8 ball pool,10,Simulation game,Rewards and milestones are communicated effectively.
29,2,7,142,8 ball pool,10,Simulation game,Another point is that the audiovisual design feels polished and strengthens the atmosphere.
30,2,8,142,8 ball pool,10,Simulation game,"It constantly tests the player's reactions, understanding, and strategy."
31,2,9,142,8 ball pool,10,Simulation game,"In practice, the game makes player choices and actions feel valuable."
32,2,10,142,8 ball pool,10,Simulation game,"More specifically, players can clearly feel themselves learning, practicing, and controlling the system."
33,3,0,073,Agar,07,Puzzle game,This Puzzle game has noticeable strengths and weaknesses across several play dimensions.
34,3,1,073,Agar,07,Puzzle game,"More specifically, the experience strongly rewards effort with a feeling of increasing competence."
35,3,2,073,Agar,07,Puzzle game,"In addition, the experience makes players feel that they control the pace and direction of play."
36,3,3,073,Agar,07,Puzzle game,"During play, goals, mechanics, and guidance work together to create a very strong sense of direction."
37,3,4,073,Agar,07,Puzzle game,"More specifically, the experience feels coherent and supports strong concentration."
38,3,5,073,Agar,07,Puzzle game,"At the same time, players are easily drawn in by new mechanics, surprises, and changes."
39,3,6,073,Agar,07,Puzzle game,"During play, input feedback is consistent, making the game feel very comfortable to control."
40,3,7,073,Agar,07,Puzzle game,"It gives players a deep feeling of value, purpose, and emotional investment."
41,3,8,073,Agar,07,Puzzle game,"More specifically, the polished visual and audio presentation strongly improves immersion and enjoyment."
42,3,9,073,Agar,07,Puzzle game,"At the same time, milestones, achievements, and result signals are reliable and satisfying."
43,3,10,073,Agar,07,Puzzle game,"At the same time, its levels and tasks are highly challenging, with frequent failure and retrying."
44,4,0,109,Age of Empires,09,Real time strategy,"Overall, this Real time strategy offers a clear player experience."
45,4,1,109,Age of Empires,09,Real time strategy,"From the player's perspective, the game provides very clear progress and reward feedback."
46,4,2,109,Age of Empires,09,Real time strategy,"In practice, the art style and audio noticeably improve the experience."
47,4,3,109,Age of Empires,09,Real time strategy,Variation in the content creates a strong sense of freshness.
48,4,4,109,Age of Empires,09,Real time strategy,"More specifically, the control design reduces unnecessary friction."
49,4,5,109,Age of Empires,09,Real time strategy,"In practice, the game includes many challenging levels."
50,4,6,109,Age of Empires,09,Real time strategy,"During play, the design supports effective learning and rewarding skill development."
51,4,7,109,Age of Empires,09,Real time strategy,Another point is that players can naturally settle into the rhythm and situation of play.
52,4,8,109,Age of Empires,09,Real time strategy,"During play, the decision space is broad enough to make play feel flexible."
53,4,9,109,Age of Empires,09,Real time strategy,"Players can quickly understand the mechanics, limits, and win conditions."
54,4,10,109,Age of Empires,09,Real time strategy,"In addition, the game makes player choices and actions feel worthwhile."
55,5,0,110,Age of Mythology,09,Real time strategy,"Overall, this Real time strategy offers a specific player experience."
56,5,1,110,Age of Mythology,09,Real time strategy,"During play, the game keeps players curious about what they will find next."
57,5,2,110,Age of Mythology,09,Real time strategy,The decision space is broad enough to make play feel flexible.
58,5,3,110,Age of Mythology,09,Real time strategy,Another point is that the audiovisual design meets basic expectations.
59,5,4,110,Age of Mythology,09,Real time strategy,The game makes it fairly easy for players to become immersed.
60,5,5,110,Age of Mythology,09,Real time strategy,The design supports effective learning and worthwhile skill development.
61,5,6,110,Age of Mythology,09,Real time strategy,"In addition, it constantly tests the player's reactions, understanding, and strategy."
62,5,7,110,Age of Mythology,09,Real time strategy,"At the same time, players can quickly understand the mechanics, limits, and win conditions."
63,5,8,110,Age of Mythology,09,Real time strategy,"From the player's perspective, players can generally understand how far they have advanced."
64,5,9,110,Age of Mythology,09,Real time strategy,"In practice, the game controls smoothly and provides well-defined input feedback."
65,5,10,110,Age of Mythology,09,Real time strategy,"In addition, the goals and play structure create a strong sense of value."
66,6,0,143,Alba: A Wildlife Adventure,01,Action adventure game,"Overall, this Action adventure game offers a detailed player experience."
67,6,1,143,Alba: A Wildlife Adventure,01,Action adventure game,"More specifically, the goals are very clear, and the systems are explained in detail."
68,6,2,143,Alba: A Wildlife Adventure,01,Action adventure game,"At the same time, the controls are highly intuitive, smooth, and responsive."
69,6,3,143,Alba: A Wildlife Adventure,01,Action adventure game,"Players occasionally need to think or practice, though the difficulty stays low."
70,6,4,143,Alba: A Wildlife Adventure,01,Action adventure game,Rewards and milestones are communicated effectively.
71,6,5,143,Alba: A Wildlife Adventure,01,Action adventure game,Another point is that the game has excellent audiovisual appeal.
72,6,6,143,Alba: A Wildlife Adventure,01,Action adventure game,"From the player's perspective, it gives players a deep feeling of value, purpose, and emotional investment."
73,6,7,143,Alba: A Wildlife Adventure,01,Action adventure game,The game clearly lets players feel that they are becoming better over time.
74,6,8,143,Alba: A Wildlife Adventure,01,Action adventure game,Another point is that the game provides a basic immersive experience.
75,6,9,143,Alba: A Wildlife Adventure,01,Action adventure game,"From the player's perspective, the game gives players a very strong sense of freedom and autonomy."
76,6,10,143,Alba: A Wildlife Adventure,01,Action adventure game,"At the same time, players are easily drawn in by new constraints, surprises, and changes."
77,7,0,144,Among Us,16,Social deduction game,This is a Social deduction game.
78,7,1,144,Among Us,16,Social deduction game,"From the player's perspective, the game is hard to complete and asks players to retry, learn, and improve."
79,7,2,144,Among Us,16,Social deduction game,"During play, the game makes player choices and actions feel meaningful."
80,7,3,144,Among Us,16,Social deduction game,"In addition, the game clearly lets players feel that they are becoming better over time."
81,7,4,144,Among Us,16,Social deduction game,"In addition, the decision space is broad enough to make play feel flexible."
82,7,5,144,Among Us,16,Social deduction game,"At the same time, the audiovisual design feels polished and strengthens the atmosphere."
83,7,6,144,Among Us,16,Social deduction game,"In practice, goals, constraints, and guidance work together to create a very strong sense of direction."
84,7,7,144,Among Us,16,Social deduction game,"In addition, rewards and milestones are communicated effectively."
85,7,8,144,Among Us,16,Social deduction game,"In addition, the game strongly encourages exploration and discovery."
